ROUTE ID,IP,LAT,LONG
0,181.44.129.66,-34.6766,-58.5606
0,10.35.64.1,,
0,100.72.4.221,,
0,100.72.3.194,,
0,100.72.3.193,,
0,100.72.3.185,,
0,10.242.5.18,,
0,185.70.203.31,41.8919,12.5113
0,185.70.203.30,41.8919,12.5113
0,89.221.43.27,51.5085,-0.1257
0,89.221.43.31,51.5085,-0.1257
0,125.22.85.150,23.2547,77.4029
1,181.44.129.66,-34.6766,-58.5606
1,10.35.64.1,,
1,100.72.4.221,,
1,100.72.3.194,,
1,100.72.3.193,,
1,10.242.5.18,,
1,10.242.5.18,,
1,185.70.203.31,41.8919,12.5113
1,185.70.203.30,41.8919,12.5113
1,89.221.43.27,51.5085,-0.1257
1,89.221.43.31,51.5085,-0.1257
1,125.22.85.150,23.2547,77.4029
2,181.44.129.66,-34.6766,-58.5606
2,10.35.64.1,,
2,100.72.4.221,,
2,100.72.3.194,,
2,100.72.3.193,,
2,10.242.5.18,,
2,10.242.5.18,,
2,185.70.203.31,41.8919,12.5113
2,185.70.203.30,41.8919,12.5113
2,89.221.43.27,51.5085,-0.1257
2,89.221.43.31,51.5085,-0.1257
2,125.22.85.150,23.2547,77.4029
4,181.44.129.66,-34.6766,-58.5606
4,10.35.64.1,,
4,100.72.4.221,,
4,100.72.3.194,,
4,100.72.3.193,,
4,10.242.5.18,,
4,10.242.5.18,,
4,185.70.203.31,41.8919,12.5113
4,185.70.203.30,41.8919,12.5113
4,89.221.43.27,51.5085,-0.1257
4,89.221.43.31,51.5085,-0.1257
4,125.22.85.150,23.2547,77.4029
5,181.44.129.66,-34.6766,-58.5606
5,100.72.4.221,,
5,89.221.43.27,51.5085,-0.1257
5,89.221.43.31,51.5085,-0.1257
5,125.22.85.150,23.2547,77.4029
